user_id,age,gender,occupation,zip_code
1,24,1,technician,85711
2,53,0,other,94043
3,23,1,writer,32067
4,24,1,technician,43537
5,33,0,other,15213
6,42,1,executive,98101
7,57,1,administrator,91344
8,36,1,administrator,05201
9,29,1,student,01002
10,53,1,lawyer,90703
11,39,0,other,30329
12,28,0,other,06405
13,47,1,educator,29206
14,45,1,scientist,55106
15,49,0,educator,97301
16,21,1,entertainment,10309
17,30,1,programmer,06355
18,35,0,other,37212
19,40,1,librarian,02138
20,42,0,homemaker,95660
21,26,1,writer,30068
22,25,1,writer,40206
23,30,0,artist,48197
24,21,0,artist,94533
25,39,1,engineer,55107
26,49,1,engineer,21044
27,40,0,librarian,30030
28,32,1,writer,55369
29,41,1,programmer,94043
30,7,1,student,55436
31,24,1,artist,10003
32,28,0,student,78741
33,23,1,student,27510
34,38,0,administrator,42141
35,20,0,homemaker,42459
36,19,0,student,93117
37,23,1,student,55105
38,28,0,other,54467
39,41,1,entertainment,01040
40,38,1,scientist,27514
41,33,1,engineer,80525
42,30,1,administrator,17870
43,29,0,librarian,20854
44,26,1,technician,46260
45,29,1,programmer,50233
46,27,0,marketing,46538
47,53,1,marketing,07102
48,45,1,administrator,12550
49,23,0,student,76111
50,21,1,writer,52245
51,28,1,educator,16509
52,18,0,student,55105
53,26,1,programmer,55414
54,22,1,executive,66315
55,37,1,programmer,01331
56,25,1,librarian,46260
57,16,1,none,84010
58,27,1,programmer,52246
59,49,1,educator,08403
60,50,1,healthcare,06472
61,36,1,engineer,30040
62,27,0,administrator,97214
63,31,1,marketing,75240
64,32,1,educator,43202
65,51,0,educator,48118
66,23,1,student,80521
67,17,1,student,60402
68,19,1,student,22904
69,24,1,engineer,55337
70,27,1,engineer,60067
71,39,1,scientist,98034
72,48,0,administrator,73034
73,24,1,student,41850
74,39,1,scientist,T8H1N
75,24,1,entertainment,08816
76,20,1,student,02215
77,30,1,technician,29379
78,26,1,administrator,61801
79,39,0,administrator,03755
80,34,0,administrator,52241
81,21,1,student,21218
82,50,1,programmer,22902
83,40,1,other,44133
84,32,1,executive,55369
85,51,1,educator,20003
86,26,1,administrator,46005
87,47,1,administrator,89503
88,49,0,librarian,11701
89,43,0,administrator,68106
90,60,1,educator,78155
91,55,1,marketing,01913
92,32,1,entertainment,80525
93,48,1,executive,23112
94,26,1,student,71457
95,31,1,administrator,10707
96,25,0,artist,75206
97,43,1,artist,98006
98,49,0,executive,90291
99,20,1,student,63129
100,36,1,executive,90254
101,15,1,student,05146
102,38,1,programmer,30220
103,26,1,student,55108
104,27,1,student,55108
105,24,1,engineer,94043
106,61,1,retired,55125
107,39,1,scientist,60466
108,44,1,educator,63130
109,29,1,other,55423
110,19,1,student,77840
111,57,1,engineer,90630
112,30,1,salesman,60613
113,47,1,executive,95032
114,27,1,programmer,75013
115,31,1,engineer,17110
116,40,1,healthcare,97232
117,20,1,student,16125
118,21,1,administrator,90210
119,32,1,programmer,67401
120,47,0,other,06260
121,54,1,librarian,99603
122,32,0,writer,22206
123,48,0,artist,20008
124,34,1,student,60615
125,30,1,lawyer,22202
126,28,0,lawyer,20015
127,33,1,none,73439
128,24,0,marketing,20009
129,36,0,marketing,07039
130,20,1,none,60115
131,59,0,administrator,15237
132,24,1,other,94612
133,53,1,engineer,78602
134,31,1,programmer,80236
135,23,1,student,38401
136,51,1,other,97365
137,50,1,educator,84408
138,46,1,doctor,53211
139,20,1,student,08904
140,30,0,student,32250
141,49,1,programmer,36117
142,13,1,other,48118
143,42,1,technician,08832
144,53,1,programmer,20910
145,31,1,entertainment,V3N4P
146,45,1,artist,83814
147,40,0,librarian,02143
148,33,1,engineer,97006
149,35,0,marketing,17325
150,20,0,artist,02139
151,38,0,administrator,48103
152,33,0,educator,68767
153,25,1,student,60641
154,25,1,student,53703
155,32,0,other,11217
156,25,1,educator,08360
157,57,1,engineer,70808
158,50,1,educator,27606
159,23,0,student,55346
160,27,1,programmer,66215
161,50,1,lawyer,55104
162,25,1,artist,15610
163,49,1,administrator,97212
164,47,1,healthcare,80123
165,20,0,other,53715
166,47,1,educator,55113
167,37,1,other,L9G2B
168,48,1,other,80127
169,52,0,other,53705
170,53,0,healthcare,30067
171,48,0,educator,78750
172,55,1,marketing,22207
173,56,1,other,22306
174,30,0,administrator,52302
175,26,0,scientist,21911
176,28,1,scientist,07030
177,20,1,programmer,19104
178,26,1,other,49512
179,15,1,entertainment,20755
180,22,0,administrator,60202
181,26,1,executive,21218
182,36,1,programmer,33884
183,33,1,scientist,27708
184,37,1,librarian,76013
185,53,0,librarian,97403
186,39,0,executive,00000
187,26,1,educator,16801
188,42,1,student,29440
189,32,1,artist,95014
190,30,1,administrator,95938
191,33,1,administrator,95161
192,42,1,educator,90840
193,29,1,student,49931
194,38,1,administrator,02154
195,42,1,scientist,93555
196,49,1,writer,55105
197,55,1,technician,75094
198,21,0,student,55414
199,30,1,writer,17604
200,40,1,programmer,93402
201,27,1,writer,E2A4H
202,41,0,educator,60201
203,25,0,student,32301
204,52,0,librarian,10960
205,47,1,lawyer,06371
206,14,0,student,53115
207,39,1,marketing,92037
208,43,1,engineer,01720
209,33,0,educator,85710
210,39,1,engineer,03060
211,66,1,salesman,32605
212,49,0,educator,61401
213,33,1,executive,55345
214,26,0,librarian,11231
215,35,1,programmer,63033
216,22,1,engineer,02215
217,22,1,other,11727
218,37,1,administrator,06513
219,32,1,programmer,43212
220,30,1,librarian,78205
221,19,1,student,20685
222,29,1,programmer,27502
223,19,0,student,47906
224,31,0,educator,43512
225,51,0,administrator,58202
226,28,1,student,92103
227,46,1,executive,60659
